Number,Name,Type,Description,Note
2,FAN1_PWM,O,CPU fan PWM output,SIO GP51
4,FAN1_TAC,I,CPU fan tachometer input,SIO GP52
6,TAN2_PWM,O,System fan PWM out,SIO GP36
8,FAN2_TAC,I,System fan tachometer input,SIO GP37
10,SIO_UART_TX,O,SuperIO UART transmitter,SIO JP3
12,SIO_UART_RX,I,SuperIO UART receiver,SIO GP41
14,GND,,,
16,HSIO0_RX+,I,Differential signal input,
18,HSIO0_RX-,I,Differential signal input,
20,GND,,,
22,HSIO1_RX+,I,Differential signal input,
24,HSIO1_RX-,I,Differential signal input,
26,GND,,,
28,HSIO2_RX+,I,Differential signal input,
30,HSIO2_RX-,I,Differential signal input,
32,GND,,,
34,HSIO3_RX+,I,Differential signal input,
36,HSIO3_RX-,I,Differential signal input,
38,GND,,,
40,HSIO8_RX+,I,Differential signal input,
42,HSIO8_RX-,I,Differential signal input,
44,GND,,,
46,HSIO9_RX+,I,Differential signal input,
48,HSIO9_RX-,I,Differential signal input,
50,GND,,,
52,HSIO10_RX+,I,Differential signal input,
54,HSIO10_RX-,I,Differential signal input,
56,GND,,,
58,HSIO11_RX+,I,Differential signal input,
60,HSIO11_RX-,I,Differential signal input,
62,GND,,,
64,HSIO6_RX+,I,Differential signal input,
66,HSIO6_RX-,I,Differential signal input,
68,GND,,,
70,USB2_P4,I/O,USB 2.0 differential signal,
72,USB2_N4,I/O,USB 2.0 differential signal,
74,GND,,,
76,USB2_P7,I/O,USB 2.0 differential signal,
78,USB2_N7,I/O,USB 2.0 differential signal,
80,GND,,,
82,USB2_P8,I/O,USB 2.0 differential signal,
84,USB2_N8,I/O,USB 2.0 differential signal,
86,GND,,,
88,REFCLK3+,O,PCIe reference clock,
90,REFCLK3-,O,PCIe reference clock,
92,GND,,,
94,REFCLK4+,O,PCIe reference clock,
96,REFCLK4-,O,PCIe reference clock,
98,GND,,,
100,PCIECLK_REQ3#,I,REFCLK3 clock request function,SoC GPP_D8
102,PCIECLK_REQ4#,I,REFCLK4 clock request function,SoC GPP_H19
104,SMB_ALERT#,I,SMBus alert interrupt,SoC GPP_C2
106,SMB_CLK,O,SMBus clock,SoC GPP_C0
108,SMB_DATA,I/O,SMBus data,SoC GPP_C1
110,GND,,,
112,USB2_P6,I/O,USB 2.0 differential signal,
114,USB2_N6,I/O,USB 2.0 differential signal,
116,GND,,,
118,GPP_F16,I/O,"GPIO, functions defined by BIOS",
120,GPP_F15,I/O,"GPIO, functions defined by BIOS",
122,GPP_F14,I/O,"GPIO, functions defined by BIOS",
124,GPP_F13,I/O,"GPIO, functions defined by BIOS",
126,GPP_F12,I/O,"GPIO, functions defined by BIOS",
128,GPP_D0,I/O,"GPIO, functions defined by BIOS",
130,GPP_D1,I/O,"GPIO, functions defined by BIOS",
132,GPP_D2,I/O,"GPIO, functions defined by BIOS",
134,GPP_D3,I/O,"GPIO, functions defined by BIOS",
136,GND,,,
138,SOC_UART2_TXD,O,SoC UART2 transmitter ,SoC GPP_F2
